Unnamed: 0,Название СТЕ,ОКПД-2
78,"сейфмебельныйсейфaikotm-120т/2мебельный,ключ.замок",25.99.21.110
79,"сейфмебельныйсейфaikotm-30elмебельный,электр.замок",25.99.21.110
80,дозаторжидкогомыла,25.99.12.112
81,трудоваякнижка,17.23.13.141
82,бухброшюрывкладышктрудовойкнижке(10штуквупаковке),17.23.13.140
83,услугителефоннойсвязи,61.10.11.110
84,организацияипроведениеинформационно-консультационногосеминарапотематике«урегулированиеорганизационныхиуправленческихспоров»,85.42.19.900
85,организацияипроведениепрактическогосеминарапотематике«инструментыкорпоративныхкоммуникацийприурегулированииспорныхситуацийвпроектныхкомандах.,82.30.11.000
86,"рулондляплоттера,594ммх45мхвтулка50,8мм,80г/м2,белизнаcie162%",17.12.14.160
87,"рулондляплоттера,914ммх45мхвтулка50,8мм,80г/м2,белизнаcie160%,bondhpq1397a",17.12.14.160
88,"рулондляплоттера,841ммх45мхвтулка50,8мм,80г/м2,белизнаcie162%",17.12.14.160
89,специальнаяоценкаусловийтрудавсоответствии426-фз,71.20.19.130
90,услугиохраны,84.24.11.000
91,арендасерверадляобеспеченияэксплуатацииинформационныхсистем,62.02.30.000
92,"техническоеобслуживаниесистемвентиляции,холодоснабжения,индивидуальноготепловогопункта",81.10.10.000
93,техническоеобслуживание,80.20.10.000
94,текущийремонт,41.20.20.180
95,изготовлениерулонныхшторlvt45,13.92.22.120
96,стеллажску,31.09.11.120
97,"доскамагнитно-маркернаяbraubergстандарт,100х150см,алюминиеваярамка,гарантия10лет,россия",32.99.53.130
98,"доскамагнитно-маркернаяbraubergpremium,2-сторонняя,100х150см,настенде,гарантия10лет",32.99.53.130
99,"доскамагнитно-маркернаяbraubergpremium,2-сторонняя,120х180см,настенде,гарантия10лет",32.99.53.130
100,"доска-флипчартмагнитно-маркерная,70x100см,нароликах,eco,""2х3""(польша)",32.99.53.130
101,"доскамагнитно-маркернаяbraubergpremium,2-сторонняя,90х120см,настенде,гарантия10лет",32.99.53.130
102,оказаниеуслугпоохранепомещений,84.24.11.000
103,оказаниеуслугпоохранепомещений,84.24.11.000
104,изготовлениестекляннойперегородкивалюминиевомкаркасе,23.19.26.900
105,обучение.безопасныеметодыиприемывыполненияработвэлектроустановках.электробезопасностьiiгруппа.(очно-заочнаяформаобучениясиспользованиемдистанционныхтехнологий,85.31.11.000
106,"обучение.безопасныеметодыиприемывыполненияработвэлектроустановках.электробезопасностьiii,ivгруппадо1000в",85.31.11.000
107,"охранатруда.руководители,специалистыичленыкомиссийпопроверкезнаний",85.31.11.000
108,обучение.пожарно-техническийминимумдляруководителейиспециалистов,85.31.11.000
109,семинардляэлектротехническогоперсонала,85.31.11.000
110,"батарейкаалкалиноваяduracellbasicаа1,5в18шт.",27.20.11.000
111,"батарейкаалкалиноваяduracellturbomaxаа1,5в8шт.",27.20.11.000
112,"батарейкаалкалиноваяduracellturbomaxааa1,5в8шт.",27.20.11.000
113,сетевойфильтрpowercubespg(5+1)-16b-5м6розеток5метров,27.33.13.190
114,"обучение""внутреннийаудит""",85.31.11.000
115,"обучениепоучебнойпрограммедополнительногопрофессиональногообразованияпокурсупрофессиональнойпереподготовки""информационнаябезопасность""",85.42.19.900
116,комбинированнаябесконтактнаясмарт-картасфасилитикодом233iclasssr2k/2(sio+iclass)hid2000hpggmn,19.20.21.125
117,лентаhyperlinewasnr-5x25-bk,22.29.21.000
118,стропгрузовой,25.93.11.140
119,"хомуты(стяжки),нейлоновые,4ммх300мм,комплект100шт.,proconnect,черные,европодвес",22.29.26.119
120,"хомутнейлон4,8х250(100)",25.94.11.120
121,"лентаscotchмонтажнаядвусторонняяпрозрачная19мм*1,5м",22.29.21.000
122,клейкаялентаалюминиеваяклейкаялентаалюминиевая50ммх40м,22.29.21.000
123,выполнениеработпомонтажуиустановкескс,43.21.10.120
124,ремонтпомещения,43.39.19.190
125,"дискиcd-rverbatim,700mb,52х,100шт.,cakebox",26.80.12.000
126,"дискdvd+r(плюс)verbatim,4,7gb,16x,25шт.,cakebox",26.80.12.000
127,"чистящиесалфеткиdefendercln30102,влажные,дляжкиlcdмониторов,втубе,100шт.",17.22.11.130
128,"чистящийбаллонсосжатымвоздухомdefendercln30805,400мл",28.13.24.000
129,аптечкапервойпомощиаппфэстроссия,21.20.24.170
130,техническоеобслуживаниеоборудование,35.22.10.120
131,банкданныхзаработныхплат,63.11.13.000
132,крестовинахромированная,25.72.14.130
133,"подлокотникхромсмягкойнакладкой,экокожа,черный",31.01.12.160
134,подшипник,28.15.10.110
135,колеса,33.17.19.000
136,мебельныйуголок(30х30х35мм),25.72.14.130
137,мебельptаргоколесныеопорыр703(4шт)дляа-401,25.72.14.130
138,ролик(колесо)длякресла38/50/11,31.01.11.150
139,петлянакладная12х16мм(2шт.),25.72.14.130
140,винт-конфирмат,25.72.14.130
141,мультиметрцифровойресантаdt832,26.51.43.110
142,набордиэлектрическихотвертокквтпрофинио-0878619,15.20.32.121
143,бурkeilsds-plus6х100мм,25.73.40.111
144,плоскогубцыкомбинированныезубрмастерэлектрик2214-1-16_z02диэлектрическиевысоковольтныедо1000в160мм,25.73.30.161
145,"набор:ключstayer""master""гаечныйкомбинированный,хромированный,8-24мм,12шт27085-h12",25.73.30.171
146,"молотокgiganthht400,400гр",25.73.30.141
147,наборбит45предметbergerbg-45sb,25.73.30.176
148,ограничительдляпвхокон,22.23.14.120
149,рулетка5мx25ммgrossergonomisch(31103),26.51.33.199
150,плоскогубцыудлиненныепрактик160мм,25.73.30.161
151,"наборключейимбусовыхmatrix9шт,1.5-10мм,crv,удлин(11233)",25.73.30.171
152,"стремянкаhailol604ступенекн=146смслотком,алюм(8160-401)",25.99.29.190
153,"дальномерлазерный condtrolxp2,шт",26.51.12.110
154,"колесодлятележкиsc160,повор,литаярезина,безторм,160мм",32.50.50.190
155,"уровень60см,stayerprostabil(3471-060_z01)",13.92.21.120
156,резьбовойфиксатор,32.50.22.129
157,сверлоспиральноеhssco1-13mm,32.50.13.190
158,сверлопокафелюистеклукурс354546мм,25.73.40.110
159,"ножницыпометаллу,270мм,gross""piranha"",crmo,прямойрез,режутметаллдо0,94мм,двухкомпонентныерукоятки",32.50.13.190
160,стремянкаkrausesolidy6ступеней(арт.126245),25.99.29.190
161,уголоккрепежныйусиленный50x50x35x2мм,24.10.71.110
162,"съемникизоляцииси-6нзачистка0,25-6мм,обжим0,25-6мм,резка0,25-6мм",32.50.13.110
163,"ящикдляинструментов«гефест»,21"",28?53?29см,3боксадлямелочей,2выдвижныеконсоли,idea",31.01.11.123
164,силиконоваясмазка400млakfixya14,19.20.29.210
165,бурпобетонуsdsplusсдвойнойрезьбой8х160ммкурс(32614),25.73.40.111
166,перфораторmakitahr2630,28.24.11.000
167,"бокорезызубр""мастер""""электрик""2214-5-16_z02,160мм",25.73.30.164
168,hitachids18dvf3-taшуруповерт,28.24.11.000
169,обучение.управлениегосударственнымиимуниципальнымизакупками,85.42.19.900
170,оконтрактнойсистемевсферезакупок.теорияипрактика,85.31.11.000
171,оказаниеуслугфизическойохраны,80.10.12.100
172,проведениеэкспертизытехническогосостоянияоборудования.,71.20.13.000
173,оказаниеуслугпоучастиювконференции,82.30.11.000
174,услугителефоннойсвязи,61.10.11.110
175,техническоеобслуживаниезащищенногоподключенияксмэв,62.02.30.000
176,предоставлениедоступакинформационномуресурсуспарк(3доступа),63.12.10.000
177,техническоеобслуживание,80.20.10.000
178,изготовлениештампов,32.99.16.120
179,установкакондиционера,28.25.12.130
180,"водапитьевая""мия""19л",11.07.11.120
181,курсredhat-системноеадминистрированиеiiiиэкзаменыrhcsaиrhce(rhel7)иvmwarevsphere:интенсивныйтренингпоустранениюнеисправностей(vmwarevsphere:troubleshootingworkshopv6.7),62.02.30.000
182,"картотекапрактикafc04шкаф4секцион.а4/fc,ц.замок,470х630х1330",31.01.11.123
183,складнаятележкаff-s,32.50.50.190
184,платформеннаятележкатп4,30.99.10.190
185,дополнительнаяпрофессиональнаяпрограммаповышенияквалификациипокурсамвсфересистемногоадминистрирования,85.42.19.900
186,дозатордляжидкогомыламеридаdtn101800млбелый,25.99.12.112
187,лампалюминесцентнаяosramduluxs/e11w/8402g711w4200kхолодныйбелый,27.40.15.114
188,лампасветодиоднаястарте277w4000кшар,27.40.15.150
189,детекторметаллаboschgms120prof(0601081000),28.24.11.000
190,повышениеквалификациикомандыпонаправлениямвсфереит,85.31.11.000
191,специальнаяоценкаусловийтрудавсоответствии426-фз,71.20.19.130
192,установкасистемыконтроляиуправлениядоступом,33.20.39.900
193,"программыповышенияквалификациивсфереизученияосновпрограммирования:""построениесетейхраненияданныхhuawei(код:hcia-storage-bssn)",32.40.20.139
194,обзорзарплатрынкаинформационныхтехнологийвгородемоскве,62.09.20.120
195,повышениеквалификациипообразовательнымпрограммамизучитьсферусистемногоадминистрирования,85.42.19.900
196,"расширенныевозможностипоавтоматизацииадминистрированияспомощьюwindowspowershell,m10962",58.29.50.000
197,"программированиенаpython:введение,python3_intro",32.40.20.139
198,"основыпрограммированиянаязыкеjava,5jpf",32.40.20.139
199,работыпоизготовлениюмебели(набормебели),31.01.12.139
200,вешалкапласт.дляверхнейодежды52-54,16.29.14.191
201,"светильниксветодиодныйэраnled-446,белый",27.40.25.123
202,"водапитьевая""мия""0,33л",11.07.11.121
203,"доскамагнитно-маркерная90x120см,двусторонняя,напередвижномстенде,office,""2х3""(польша)",32.99.53.130
204,"доскамагнитно-маркернаяbraubergpremium,2-сторонняя,100х150см,настенде,гарантия10лет",32.99.53.130
205,"доскамагнитно-маркернаяbraubergpremium,2-сторонняя,120х180см,настенде,гарантия10лет",32.99.53.130
206,"доска-флипчартмагнитно-маркерная,70x100см,нароликах,eco,""2х3""(польша)",32.99.53.130
207,"доскамагнитно-маркернаяbraubergстандарт,100х150см,алюминиеваярамка,гарантия10лет,россия",32.99.53.130
208,"доскамагнитно-маркернаяbrauberg""premium"",120х240см,улучшеннаяалюминиеваярамка,гарантия10лет",32.99.53.130
209,"доскапробковаяbraubergдляобъявлений,90х120см,алюминиеваярамка,гарантия10лет,россия",32.99.53.130
210,изготовлениеэкранадлякассетногокондиционера,28.25.12.130
211,изготовлениезащитныхэкрановдлякассетныхкондиционеровфлип700,28.25.12.130
212,изготовлениеэкранадлякассетногокондиционера,28.25.12.130
213,"сейфмебельныйсейфaikotm-90тelмебельный,электр.замок",25.99.21.110
214,сейфмебельныйvalbergasm-30el(электронныйзамок),25.99.21.110
215,"сейфофисныйvalberg""asm-63tel"",630х440х355мм,электронныйзамок,трейзер",25.99.21.110
216,"сейфмебельныйсейфaikotm-120тмебельный,ключ.замок",25.99.21.110
217,"ножканцелярскийworkmate,9мм",25.71.13.110
218,"подвеснаярегистратурапапкаesselteplusfoolscap,желтый9033525шт",31.01.11.123
219,"подвеснаярегистратурапапкиesselteplusfoolscap,синий9033425шт",31.01.11.123
220,"подвеснаярегистратураattacheeconomy,а4,10шт.вуп.",17.23.13.193
221,"ножканцелярский18ммofficespace,усиленный,сфиксатором,металл.направляющие,красныйцвет,европодвес",25.71.13.110
222,"скотчдвусторонний,ширина50мм,25мврулоне,полипропилен,36рулоноввкоробке",32.50.50.190
223,механизмдляскоросшивателяпластиковыйсиний(25штуквупаковке),17.23.13.193
224,"папка-регистраторtiralana,75мм,чёрныймраморсметаллическойокантовкой",17.23.13.193
225,"подвеснаярегистратурапапкаesselteplusfoolscap,красный9033625шт",31.01.11.123
226,"папка-регистраторtiralana,50мм,чёрныймраморсметаллическойокантовкой",17.23.13.193
227,"доводчикнадверьdormats77en3,срыч.тягой,до60кг,серебро(76050101)",25.72.14.120
228,чашкапластиковая«интеко»,22.29.23.110
229,стаканпластиковыйпрозрачный200мл,22.29.23.110
230,монтажпрочегооборудования,33.20.39.900
231,"разработкаивнедрениеинформационныхсистем""альпинадиджитал""",62.09.20.190
232,выполнениеработпоизготовлениюофисноймебели,31.01.12.139
233,крестовина,30.20.40.172
234,подлокотник,31.01.11.150
235,газлифт,25.72.14.130
236,подлокотник,31.01.11.150
237,"подлокотникхромсмягкойнакладкой,экокожа,черный",31.01.12.160
238,"реформасметногоценообразованиявстроительстве:фнсб-2020,измененияврасчетахзавыполненныеработывстроительстве",85.42.19.900
239,изготовленияполиграфическойпродукции,18.13.30.000
240,повышенияквалификациивсферевеб-разработки,85.31.11.000
241,креслоруководителятайпитсн840экокожа/тканьчерное,31.01.12.160
242,"услугипообеспечениюинформационнойбезопасностиобъектаинформатизации""центробработкиданных""",74.90.20.149
243,выполнениеработпоизготовлениюполиграфическойпродукции,58.19.19.190
244,"пленкавозд-пузырьковая3-хсл.,рулон1,5х25м",32.50.50.190
245,короб650х450х450картонт23бурый10шт./уп,17.23.13.193
246,монтажсистемыскуд,80.20.10.000
247,погрузо-разгрузочныеработыпривнутригородскойперевозкегрузовикорреспонденции,52.23.19.114
248,кабель-каналнапольный70х16мм(серый)iekэлекор,27.33.13.130
249,изготовлениестекляннойперегородкивалюминиевомкаркасе,23.19.26.900
250,экспертизатехническогосостояния,71.20.19.190
251,"обучениепокурсу""fortigate:безопасность(fortigatesecurity)""",85.42.19.900
252,"обучениенакурсе""инфраструктураfortigate(fortigateinfrastructure)""",85.42.19.900
253,"холодильникdaewoofr-051a/fr-051ar,общийобъем59л,безморозильнойкамеры,44x45x51см,белый",27.51.11.110
254,"холодильникindesittt85.005,общийобъем122л,морозильнаякамера14л,60x62x85см,цветдерево",27.51.11.110
255,холодильникатлантмх5810-62,27.51.11.110
256,считывательсмартиproximityкартhidmulticlassserp10900p,19.20.21.125
257,арендасерверадляобеспеченияэксплуатацииинформационныхсистем,62.02.30.000
258,аттестацияавтоматизированныхсистемипомещенийпотребованиямбезопасностиинформации,62.09.20.190
259,монтажволоконно-оптическойсетисвязи,61.90.10.160
260,дезинсекция,81.29.11.000
261,перевозкагрузов,49.41.17.000
262,пирометрadatempro300(а00222),26.51.51.110
263,"карманныйтермоанемометрстик-класса,testo405",26.51.51.140
264,выполнениеработпоизготовлениюмодульногодиванадлявходнойгруппы,43.99.40.190
265,"доступксистеме""мойинтегрум""",62.01.29.000
266,"подписканаэлектронныйжурнал""ведомости""",58.14.20.000
267,часынастенныеclockbrass306х306х50мм,26.52.14.000
268,оказаниеуслугтехническогообслуживанияадминистративногоздания,80.20.10.000
269,техническоеобслуживаниепомещенийздания,81.10.10.000
270,обслуживаниездания,81.10.10.000
271,считывательсмартиproximityкартhidmulticlassserp10900p,19.20.21.125
272,"предоставлениеправиспользованиябазыданных""amazinghiring""",58.29.50.000
273,физическаяохрана,84.24.19.000
274,физическаяохрана,84.24.19.000
275,обслуживаниенежилыхзданий,94.11.10.000
276,техническоеобслуживаниезданийипомещений,81.10.10.000
277,обслуживаниевнутреннегоблокакондиционера,33.12.18.000
278,выполнениеработпоизготовлениюмебели,31.01.12.190
279,физическаяохрана,84.24.19.000
280,оклейкастеколматовойпленкойad220,43.34.20.190
281,картриджсоскрепкамидляфинишераdf-790,25.99.23.000
282,разработкаивизуализациянавигационнойсистемы,26.60.12.119
283,семинардляэлектротехническогоперсонала,85.42.19.900
284,"обучение.безопасныеметодыиприемывыполненияработвэлектроустановках.электробезопасностьiii,ivгруппадо1000в",85.31.11.000
285,обучение.безопасныеметодыиприемывыполненияработвэлектроустановках.электробезопасностьiiгруппа.(очно-заочнаяформаобучениясиспользованиемдистанционныхтехнологий,85.31.11.000
286,услугиохраны,84.24.11.000
287,банкданныхзаработныхплат,63.11.13.000
288,изготовлениеполиграфическойпродукции,18.13.30.000
289,изготовлениезащитногоэкранадлякондиционероввентиляционныхсистем,32.50.42.120
290,изготовлениезащитногоэкранадлякондиционероввентиляционныхсистем,32.50.42.120
291,изготовлениезащитногоэкранадлякондиционероввентиляционныхсистем,32.50.42.120
292,установкасистемыскуд,80.20.10.000
293,техническоеобслуживаниезданийипомещений,81.10.10.000
294,"водапитьевая""мия""19л",11.07.11.120
295,"бумагадляофиснойтехникиiqallroundа3,80г/м2,500л.,162%",17.12.14.129
296,"бумагадляофиснойтехникиiqallround(а4,80г/кв.м,белизна162%cie,500листов)",17.12.14.129
297,предоставлениедоступакинформационномуресурсуспарк,62.03.12.130
298,выполнениеработпоизготовлениюполиграфическойпродукции,58.19.19.190
299,"картотекапластиковаяhanа6(148?105мм)вертикальнаяна1300карт,серая",13.92.22.120
300,услугиохраны,84.24.11.000
301,"изготовлениеинформационныхстендов.табличек.,предоставлениевариантовдизайна,корректировка,доработкамакетапотребованиюзаказчика,предоставлениенаэлектронномносителеисходногофайла.,допечатнаяподготовкапоиндивидуальномупроекту",32.99.53.190
302,утилизация,62.02.20.190
303,проведениеэкспертизытехническогосостоянияоборудования.,71.20.13.000
304,консультационныеуслугипосозданиюпрезентаций,26.40.33.190
305,работыпоизготовлениюмебели,31.01.99.000
306,арендасерверадляобеспеченияэксплуатацииинформационныхсистем,62.02.30.000
307,монтажипусконаладкатревожнойсигнализации,43.21.10.140
308,техническоеобслуживаниездания,81.10.10.000
309,обслуживаниеисодержаниепомещения,81.21.10.000
310,оказаниеинформационно-консультационныхуслугпометодикамhogan,63.99.10.190
311,утилизация,62.02.20.190
312,установкасистемыскуд,80.20.10.000
313,оборудованиепостадезинфекциирук,20.20.14.000
314,boschtwk3a013электрочайник,27.51.24.110
315,термопот supratps-5005st(900вт),27.51.24.190
316,печьмикроволноваяsamsungme83xr/bwt800втчерный,27.51.27.000
317,дополнительнаяпрофессиональнаяпрограмма,85.21.12.000
318,"термометринфракрасный,бесконтактныйsensitec",26.60.12.122
319,оказаниеуслугподоочисткеводыспомощьюаппаратовпоочисткеводы,33.12.19.000
320,столжурнальныйbeautystyle3(венге/стеклобежевое),31.09.12.132
321,столжурнальныйbeautystyle10(венге/стеклочерное),31.09.12.132
322,"столжурнальныйпрестон(серыйбетон/черный,1200x700x446мм)",31.09.12.132
323,"столжурнальныйbeautystyle26(дубсонома/стеклочерное,1100x600x465мм)",16.21.13.000
324,стремянкаkrausestabilo8ступеней124555,25.99.29.190
325,safetyскладнаястремянка4ступ.сполочкой,25.99.29.190
326,стремянкаkrausesolidy6ступеней(арт.126245),25.99.29.190
327,стремянкаалюминиевая5ступенейkrause128959,25.99.29.190
328,"ручкашариковаяpapermate""brite"",черная,0,7мм,грип",32.99.12.110
329,ручкашариковаяberlingopr-05синяя,32.99.12.110
330,"ручкагелеваяcrownhjr-500rn0,7ммсрезиновымупоромкрасная",32.99.12.110
331,набормаркеровдляфлипчартовattache4штуки,32.99.12.120
332,berlingoручкашариковаяtriangle110цветчернилкрасный,32.99.14.130
333,"ручкашариковаяberlingo""triangle110""зеленая,0,7мм,трехгран.,грип",32.99.12.110
334,"ручкагелеваяofficespaceчерная,0,5мм,грип",32.99.12.110
335,"текстовыделительofficespaceголубой,1-4мм",32.99.12.120
336,"текстовыделительofficespaceжелтый,1-5мм",32.99.12.120
337,officespaceтекстовыделительцветзеленыйh_262,32.99.12.120
338,маркерперманентныйmunhwaбелый(толщиналинии0.8-1.2мм),32.99.12.120
339,"ручкагелеваяofficespaceсиняя,0,3мм,грип",32.99.12.110
340,crownручкагелеваяhjr-500rnзеленая,32.99.12.110
341,техническоеобслуживаниездания,81.10.10.000
342,обслуживаниеисодержаниепомещения,81.21.10.000
343,"повышениеквалификациипокурсу""программированиенаязыкеpython.уровень1.базовыйкурс""",85.42.19.900
344,стулбюрократkf-2kf-2/or-10экокожаoregon10,31.01.12.160
345,столuro100,31.09.12.131
346,шкафomld760,28.25.13.111
347,столuro120,31.09.12.131
348,"работыпоустановкематовойпленкинастеклянныеперегородки,спредварительнойподготовкойиочисткойповерхностей",43.29.11.140
349,степлер№10kangarohs-j10до20л.,25.99.22.130
350,дыроколмощныйдо150листов,25.99.22.130
351,"степлерkw-trioмощный№23/6-23/13,на100листов,серый/черный",25.99.22.130
352,"дыроколattacheдо35листов,сблокиратором,металлический,синий",25.99.22.130
353,"степлер№24/6,26/6berlingo""universal""до30л.,пластиковыйкорпус",25.99.22.130
354,"клейкие-закладкиofficespace,45*12мм,20л*5неоновыхцветов,европодвес",22.29.25.000
355,"блокдлязаписиofficespace,9*9*4,5см,пластиковыйбокс,белый",17.23.13.199
356,папка-скоросшивательспружинныммеханизмомattacheа4красная0.7мм,17.23.13.193
357,faber-castellснимаемаямассадляприклеиванияtack-it50гцветбелый,14.14.30.110
358,"папка-конвертнакнопкеberlingo,а4,180мкм,непрозрачная,ассорти",22.29.25.000
359,"коробархивный(240х330мм),80мм,2завязки,бумвинил,до700листов,бордовый,staff,",17.21.13.000
360,"пеналдляключейизпластика,высота100ммдиаметр40мм",25.99.12.112
361,подставканастольнаяattacheа5вертикальнаядвусторонняяакрил10шт/уп,22.29.25.000
362,папка-скоросшивательспружинныммеханизмом,17.23.13.193
363,"клейкаялента19мм*33м,berlingo,прозрачная",22.29.21.000
364,"карандашч/гofficespacehb,сластиком,заточенный,пластиковый",32.99.15.110
365,berlingoзажимдлябумагширина41мм12шт,25.99.23.000
366,berlingoкнопкисиловые50шт,25.93.14.130
367,"подставка-органайзер«авангард»,132х122х108мм,5отделений,черная,ор52",22.29.25.000
368,"клей-карандашerichkrause,21г",20.52.10.190
369,"губкадлядосокberlingo67*147мм,намагните,европодвес",22.29.25.000
370,"папка-скоросшивательпластик.berlingo,а4,180мкм,салатоваяспрозр.верхом",22.29.25.000
371,"папка-регистраторbrauberg""extra"",75мм,черная,двустороннеепокрытиепластик,металлическийуголок,228570",17.23.13.193
372,"резинкибанковскиеуниверсальные,офисмаг100г,диаметр60мм",22.19.73.120
373,"тейбл-тент(подставкадлярекламы)officespace,а4,двухсторонний,вертикальный",22.29.25.000
374,"салфеткивлажныедляжкидругихэкранов,втубе,100шт.",17.22.11.130
375,"тейбл-тент(подставкадлярекламы)officespace,а6,односторонний,вертикальный",22.29.25.000
